question_id,type,domain,system,score,score_method,latency_ms,error
SL-10,simple-lookup,cardiovascular,graph,0.667,fuzzy,8048,
SL-29,simple-lookup,conditions,graph,1.000,f1,17167,
SL-53,simple-lookup,demographics,graph,0.700,fuzzy,17949,
SL-1,simple-lookup,diabetes,graph,0.667,fuzzy,7781,
SL-17,simple-lookup,medications,graph,1.000,f1,10122,
SL-10,simple-lookup,cardiovascular,sql,0.667,fuzzy,2005,
SL-29,simple-lookup,conditions,sql,1.000,f1,7618,
SL-53,simple-lookup,demographics,sql,0.800,fuzzy,5282,
SL-1,simple-lookup,diabetes,sql,0.333,fuzzy,2076,
SL-17,simple-lookup,medications,sql,1.000,f1,6847,
SL-10,simple-lookup,cardiovascular,sql-fts,0.667,fuzzy,4160,
SL-29,simple-lookup,conditions,sql-fts,1.000,f1,5315,
SL-53,simple-lookup,demographics,sql-fts,0.800,fuzzy,5951,
SL-1,simple-lookup,diabetes,sql-fts,0.333,fuzzy,2078,
SL-17,simple-lookup,medications,sql-fts,1.000,f1,6713,
SL-10,simple-lookup,cardiovascular,llm-only,0.667,fuzzy,1783,
SL-29,simple-lookup,conditions,llm-only,1.000,f1,5115,
SL-53,simple-lookup,demographics,llm-only,0.800,fuzzy,3235,
SL-1,simple-lookup,diabetes,llm-only,0.333,fuzzy,4988,
SL-17,simple-lookup,medications,llm-only,1.000,f1,9628,